grading_model,student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
qwen_qwen3.6-27b,student_a,Q1,50,1.98,0.141,100.0,0.0,100.0,100.0,94.0,64.0
qwen_qwen3.6-27b,student_a,Q10,50,2.44,0.541,86.0,6.0,96.0,36.0,92.0,44.0
qwen_qwen3.6-27b,student_a,Q2,50,2.0,0.0,100.0,0.0,48.0,48.0,100.0,100.0
qwen_qwen3.6-27b,student_a,Q3,50,1.0,0.0,100.0,0.0,100.0,100.0,96.0,96.0
qwen_qwen3.6-27b,student_a,Q4,50,3.0,0.0,100.0,0.0,98.0,0.0,12.0,0.0
qwen_qwen3.6-27b,student_a,Q5,50,3.0,0.0,100.0,0.0,24.0,0.0,32.0,0.0
qwen_qwen3.6-27b,student_a,Q6,50,3.0,0.0,100.0,0.0,56.0,0.0,16.0,0.0
qwen_qwen3.6-27b,student_a,Q7,50,2.92,0.274,96.0,0.0,100.0,4.0,32.0,20.0
qwen_qwen3.6-27b,student_a,Q8,50,2.96,0.198,100.0,0.0,96.0,4.0,16.0,4.0
qwen_qwen3.6-27b,student_a,Q9,50,2.98,0.141,100.0,0.0,42.0,0.0,22.0,2.0
qwen_qwen3.6-27b,student_b,Q1,50,2.0,0.0,100.0,100.0,50.0,50.0,22.0,0.0
qwen_qwen3.6-27b,student_b,Q10,50,0.98,0.141,92.0,88.0,100.0,100.0,54.0,54.0
qwen_qwen3.6-27b,student_b,Q2,50,2.0,0.0,100.0,60.0,34.0,12.0,40.0,40.0
qwen_qwen3.6-27b,student_b,Q3,50,2.92,0.274,100.0,8.0,100.0,8.0,4.0,4.0
qwen_qwen3.6-27b,student_b,Q4,50,3.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_b,Q5,50,3.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_b,Q6,50,2.0,0.0,96.0,14.0,100.0,96.0,24.0,24.0
qwen_qwen3.6-27b,student_b,Q7,50,1.8,0.404,90.0,78.0,98.0,74.0,20.0,20.0
qwen_qwen3.6-27b,student_b,Q8,50,1.0,0.0,86.0,40.0,100.0,100.0,2.0,2.0
