grading_model,student,run,question,score,CodeExecution_mentioned,CodeExecution_deducted,ProcessFidelity_mentioned,ProcessFidelity_deducted,OutputAccuracy_mentioned,OutputAccuracy_deducted
qwen_qwen3.6-27b,student_high,1,Q1,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,1,Q2,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,1,Q3,5.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_high,1,Q4,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,1,Q5,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,1,Q6,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,2,Q1,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,2,Q2,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,2,Q3,5.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_high,2,Q4,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,2,Q5,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,2,Q6,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,3,Q1,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,3,Q2,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,3,Q3,5.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_high,3,Q4,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,3,Q5,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,3,Q6,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,4,Q1,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,4,Q2,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,4,Q3,5.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_high,4,Q4,5.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_high,4,Q5,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,4,Q6,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,5,Q1,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,5,Q2,5.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_high,5,Q3,5.0,False,False,True,False,True,False
